"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"203","2022-12-01","Lost Creek Reservoir",NA,"U",22500,9201,8990,13000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"204","2022-12-01","Lower Enterprise",NA,"",2600,895,220,400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"205","2022-12-01","Miller Flat Reservoir",NA,"",5200,1419,1192,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"206","2022-12-01","Millsite",NA,"",16700,3789,7397,8500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"207","2022-12-01","Minersville Reservoir",NA,"",23300,2607,2518,5700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"208","2022-12-01","Moon Lake Reservoir",NA,"U",35800,18690,20999,16100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"209","2022-12-01","Otter Creek Reservoir",NA,"",52500,12551,8994,21200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"210","2022-12-01","Panguitch Lake",NA,"",22300,4500,5957,9700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"211","2022-12-01","Pineview Reservoir",NA,"U",110100,21305,36847,52500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"212","2022-12-01","Piute Reservoir",NA,"",71800,9560,11245,22200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"213","2022-12-01","Porcupine Reservoir",NA,"",11300,3857,5964,6000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"214","2022-12-01","Quail Creek",NA,"",40000,24034,25438,25200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"215","2022-12-01","Red Fleet Reservoir",NA,"U",25700,9355,8465,17800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"216","2022-12-01","Rockport Reservoir",NA,"U",60900,21647,37722,34700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"217","2022-12-01","Sand Hollow Reservoir",NA,"",50000,36511,32483,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"218","2022-12-01","Scofield Reservoir",NA,"U",65800,14405,10860,21900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"219","2022-12-01","Settlement Canyon Reservoir",NA,"",1000,268,276,490,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"220","2022-12-01","Yuba Reservoir",NA,"",236000,31789,12297,89300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"221","2022-12-01","Smith And Morehouse Reservoir",NA,"U",8100,6755,4054,4300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"222","2022-12-01","Starvation Reservoir",NA,"U",164118,114837,113403,130500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"223","2022-12-01","Stateline Reservoir",NA,"U",12000,4684,5106,5400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"224","2022-12-01","Steinaker Reservoir",NA,"U",33400,6238,11918,14200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"225","2022-12-01","Strawberry Reservoir",NA,"U",1105900,809186,795372,841100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"226","2022-12-01","Upper Enterprise Reservoir",NA,"",10000,609,587,1120,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"227","2022-12-01","Utah Lake",NA,"U",870900,457812,360515,628300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"228","2022-12-01","Willard Bay",NA,"U",215000,79239,68854,133000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"229","2022-12-01","Woodruff Creek",NA,"",4000,1560,1916,1250,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"230","2022-12-01","Woodruff Narrows Reservoir",NA,"",57300,10527,11729,30300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"231","2023-01-01","Bear Lake",NA,"",1302000,536839,371966,456500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"232","2023-01-01","Big Sand Wash Reservoir",NA,"",25700,13100,16541,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"233","2023-01-01","Causey Reservoir",NA,"U",7100,4019,3636,3600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"234","2023-01-01","Cleveland Lake",NA,"",5400,20,3239,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"235","2023-01-01","Currant Creek Reservoir",NA,"U",15500,14948,14833,14900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"236","2023-01-01","Deer Creek Reservoir",NA,"U",149700,107681,74759,112000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"237","2023-01-01","East Canyon Reservoir",NA,"U",49500,25261,27758,34200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"238","2023-01-01","Echo Reservoir",NA,"U",73900,20096,45897,37600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"239","2023-01-01","Flaming Gorge Reservoir",NA,"U",3749000,2899875,2540108,3127000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"240","2023-01-01","Grantsville Reservoir",NA,"",3300,1768,1112,1250,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"241","2023-01-01","Gunlock",NA,"",10400,4500,3645,6200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"242","2023-01-01","Gunnison Reservoir",NA,"",20300,0,620,1840,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"243","2023-01-01","Huntington North Reservoir",NA,"U",4200,2113,3335,2300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"244","2023-01-01","Hyrum Reservoir",NA,"U",15300,8634,9724,9900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"245","2023-01-01","Joes Valley Reservoir",NA,"U",61600,21169,29821,39800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"246","2023-01-01","Jordanelle Reservoir",NA,"U",314000,158810,186437,229800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"247","2023-01-01","Ken's Lake",NA,"",2300,927,1675,920,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"248","2023-01-01","Lake Powell",NA,"U",24322000,6713123,5530546,13921000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"249","2023-01-01","Lost Creek Reservoir",NA,"U",22500,9424,9214,13200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"250","2023-01-01","Lower Enterprise",NA,"",2600,840,565,500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"251","2023-01-01","Miller Flat Reservoir",NA,"",5200,1503,1244,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"252","2023-01-01","Millsite",NA,"",16700,3821,7687,10200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"253","2023-01-01","Minersville Reservoir",NA,"",23300,4052,4286,6800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"254","2023-01-01","Moon Lake Reservoir",NA,"U",35800,21510,23203,18400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"255","2023-01-01","Otter Creek Reservoir",NA,"",52500,16706,12883,25700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"256","2023-01-01","Panguitch Lake",NA,"",22300,4500,8026,10100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"257","2023-01-01","Pineview Reservoir",NA,"U",110100,23402,39661,53000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"258","2023-01-01","Piute Reservoir",NA,"",71800,16716,20430,36400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"259","2023-01-01","Porcupine Reservoir",NA,"",11300,4398,6666,6500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"260","2023-01-01","Quail Creek",NA,"",40000,24090,26493,27100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"261","2023-01-01","Red Fleet Reservoir",NA,"U",25700,9939,9059,18100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"262","2023-01-01","Rockport Reservoir",NA,"U",60900,24370,40139,34700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"263","2023-01-01","Sand Hollow Reservoir",NA,"",50000,37723,35513,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"264","2023-01-01","Scofield Reservoir",NA,"U",65800,16326,12606,23200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"265","2023-01-01","Settlement Canyon Reservoir",NA,"",1000,309,327,600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"266","2023-01-01","Yuba Reservoir",NA,"",236000,41774,20255,93900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"267","2023-01-01","Smith And Morehouse Reservoir",NA,"U",8100,6861,4183,4400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"268","2023-01-01","Starvation Reservoir",NA,"U",164118,123705,121068,133300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"269","2023-01-01","Stateline Reservoir",NA,"U",12000,5116,5591,5700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"270","2023-01-01","Steinaker Reservoir",NA,"U",33400,7901,13635,16400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"271","2023-01-01","Strawberry Reservoir",NA,"U",1105900,812171,805623,840000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"272","2023-01-01","Upper Enterprise Reservoir",NA,"",10000,1249,660,1750,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"273","2023-01-01","Utah Lake",NA,"U",870900,467103,384766,663500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"274","2023-01-01","Willard Bay",NA,"U",215000,81383,71661,126100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"275","2023-01-01","Woodruff Creek",NA,"",4000,1745,2000,1960,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"276","2023-01-01","Woodruff Narrows Reservoir",NA,"",57300,12042,13467,33400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"277","2023-02-01","Bear Lake",NA,"",1302000,546047,396392,467900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"278","2023-02-01","Big Sand Wash Reservoir",NA,"",25700,17769,20734,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"279","2023-02-01","Causey Reservoir",NA,"U",7100,4299,4082,4100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"280","2023-02-01","Cleveland Lake",NA,"",5400,111,3278,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"281","2023-02-01","Currant Creek Reservoir",NA,"U",15500,14836,14766,14800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"282","2023-02-01","Deer Creek Reservoir",NA,"U",149700,115068,84321,118500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"283","2023-02-01","East Canyon Reservoir",NA,"U",49500,26627,29474,35800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"284","2023-02-01","Echo Reservoir",NA,"U",73900,23517,46575,43100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"285","2023-02-01","Flaming Gorge Reservoir",NA,"U",3749000,2900914,2496929,3111000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"286","2023-02-01","Grantsville Reservoir",NA,"",3300,1825,1300,1620,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"287","2023-02-01","Gunlock",NA,"",10400,4682,5200,7300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"288","2023-02-01","Gunnison Reservoir",NA,"",20300,0,940,4400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"289","2023-02-01","Huntington North Reservoir",NA,"U",4200,2486,3912,3100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"290","2023-02-01","Hyrum Reservoir",NA,"U",15300,10685,9596,10200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"291","2023-02-01","Joes Valley Reservoir",NA,"U",61600,21464,30053,40500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"292","2023-02-01","Jordanelle Reservoir",NA,"U",314000,156675,186107,227100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"293","2023-02-01","Ken's Lake",NA,"",2300,971,1742,1120,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"294","2023-02-01","Lake Powell",NA,"U",24322000,6335175,5456139,13471000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"295","2023-02-01","Lost Creek Reservoir",NA,"U",22500,9687,9549,13400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"296","2023-02-01","Lower Enterprise",NA,"",2600,1249,1197,600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"297","2023-02-01","Miller Flat Reservoir",NA,"",5200,1555,1316,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"298","2023-02-01","Millsite",NA,"",16700,3679,7990,10000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"299","2023-02-01","Minersville Reservoir",NA,"",23300,5363,5859,9100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"300","2023-02-01","Moon Lake Reservoir",NA,"U",35800,23750,25473,20300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"301","2023-02-01","Otter Creek Reservoir",NA,"",52500,20045,16223,30100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"302","2023-02-01","Panguitch Lake",NA,"",22300,4500,8071,9700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"303","2023-02-01","Pineview Reservoir",NA,"U",110100,26147,46215,54200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"304","2023-02-01","Piute Reservoir",NA,"",71800,17881,21227,39600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"305","2023-02-01","Porcupine Reservoir",NA,"",11300,4920,7339,7200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"306","2023-02-01","Quail Creek",NA,"",40000,24587,28227,30000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"307","2023-02-01","Red Fleet Reservoir",NA,"U",25700,10627,9668,18600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"308","2023-02-01","Rockport Reservoir",NA,"U",60900,29164,43341,35900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"309","2023-02-01","Sand Hollow Reservoir",NA,"",50000,39030,38715,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"310","2023-02-01","Scofield Reservoir",NA,"U",65800,17770,14423,24700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"311","2023-02-01","Settlement Canyon Reservoir",NA,"",1000,335,353,680,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"312","2023-02-01","Yuba Reservoir",NA,"",236000,55370,32574,108000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"313","2023-02-01","Smith And Morehouse Reservoir",NA,"U",8100,4605,4393,4300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"314","2023-02-01","Starvation Reservoir",NA,"U",164118,132095,129900,139800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"315","2023-02-01","Stateline Reservoir",NA,"U",12000,5470,6052,5700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"316","2023-02-01","Steinaker Reservoir",NA,"U",33400,9334,15350,18900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"317","2023-02-01","Strawberry Reservoir",NA,"U",1105900,829583,813067,841700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"318","2023-02-01","Upper Enterprise Reservoir",NA,"",10000,1503,3523,2400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"319","2023-02-01","Utah Lake",NA,"U",870900,485333,451392,693600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"320","2023-02-01","Willard Bay",NA,"U",215000,86754,86559,130700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"321","2023-02-01","Woodruff Creek",NA,"",4000,1750,2200,2200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"322","2023-02-01","Woodruff Narrows Reservoir",NA,"",57300,12770,13467,36000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"323","2023-03-01","Bear Lake",NA,"",1302000,554611,414440,482900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"324","2023-03-01","Big Sand Wash Reservoir",NA,"",25700,21380,24427,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"325","2023-03-01","Causey Reservoir",NA,"U",7100,4540,4402,4300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"326","2023-03-01","Cleveland Lake",NA,"",5400,120,3305,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"327","2023-03-01","Currant Creek Reservoir",NA,"U",15500,14842,14741,14900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"328","2023-03-01","Deer Creek Reservoir",NA,"U",149700,120357,90412,121900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"329","2023-03-01","East Canyon Reservoir",NA,"U",49500,27888,30662,35200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"330","2023-03-01","Echo Reservoir",NA,"U",73900,26432,50496,43500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"331","2023-03-01","Flaming Gorge Reservoir",NA,"U",3749000,2905073,2457255,3107000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"332","2023-03-01","Grantsville Reservoir",NA,"",3300,1940,1454,1910,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"333","2023-03-01","Gunlock",NA,"",10400,4867,6794,7200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"334","2023-03-01","Gunnison Reservoir",NA,"",20300,0,1100,8200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"335","2023-03-01","Huntington North Reservoir",NA,"U",4200,2939,3886,3700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"336","2023-03-01","Hyrum Reservoir",NA,"U",15300,12127,9644,11000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"337","2023-03-01","Joes Valley Reservoir",NA,"U",61600,21852,30134,40300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"338","2023-03-01","Jordanelle Reservoir",NA,"U",314000,153469,185120,224800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"339","2023-03-01","Ken's Lake",NA,"",2300,1005,1792,1220,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"340","2023-03-01","Lake Powell",NA,"U",24322000,6048301,5319754,13114000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"341","2023-03-01","Lost Creek Reservoir",NA,"U",22500,9903,9823,13800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"342","2023-03-01","Lower Enterprise",NA,"",2600,1328,1404,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"343","2023-03-01","Miller Flat Reservoir",NA,"",5200,1603,1369,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"344","2023-03-01","Millsite",NA,"",16700,3341,8434,9400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"345","2023-03-01","Minersville Reservoir",NA,"",23300,6411,7078,10700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"346","2023-03-01","Moon Lake Reservoir",NA,"U",35800,25280,27022,21900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"347","2023-03-01","Otter Creek Reservoir",NA,"",52500,23310,19283,32800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"348","2023-03-01","Panguitch Lake",NA,"",22300,4500,8071,10800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"349","2023-03-01","Pineview Reservoir",NA,"U",110100,28835,45252,55300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"350","2023-03-01","Piute Reservoir",NA,"",71800,18034,20173,50200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"351","2023-03-01","Porcupine Reservoir",NA,"",11300,5390,7992,7800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"352","2023-03-01","Quail Creek",NA,"",40000,28044,25372,31200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"353","2023-03-01","Red Fleet Reservoir",NA,"U",25700,11000,10094,19200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"354","2023-03-01","Rockport Reservoir",NA,"U",60900,31918,37754,37400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"355","2023-03-01","Sand Hollow Reservoir",NA,"",50000,41441,42287,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"356","2023-03-01","Scofield Reservoir",NA,"U",65800,19023,15850,26700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"357","2023-03-01","Settlement Canyon Reservoir",NA,"",1000,349,376,660,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"358","2023-03-01","Yuba Reservoir",NA,"",236000,69348,48231,124600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"359","2023-03-01","Smith And Morehouse Reservoir",NA,"U",8100,4663,4422,4300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"360","2023-03-01","Starvation Reservoir",NA,"U",164118,139742,136841,143300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"361","2023-03-01","Stateline Reservoir",NA,"U",12000,5673,6364,5700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"362","2023-03-01","Steinaker Reservoir",NA,"U",33400,10502,16671,20900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"363","2023-03-01","Strawberry Reservoir",NA,"U",1105900,833358,813516,844400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"364","2023-03-01","Upper Enterprise Reservoir",NA,"",10000,1532,3937,3400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"365","2023-03-01","Utah Lake",NA,"U",870900,522826,497643,732200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"366","2023-03-01","Willard Bay",NA,"U",215000,90081,102545,137100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"367","2023-03-01","Woodruff Creek",NA,"",4000,1750,2400,2400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"368","2023-03-01","Woodruff Narrows Reservoir",NA,"",57300,12770,13467,38400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"369","2023-04-01","Bear Lake",NA,"",1302000,582371,443540,510600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"370","2023-04-01","Big Sand Wash Reservoir",NA,"",25700,25579,25779,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"371","2023-04-01","Causey Reservoir",NA,"U",7100,5426,3972,3500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"372","2023-04-01","Cleveland Lake",NA,"",5400,105,3344,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"373","2023-04-01","Currant Creek Reservoir",NA,"U",15500,15184,14378,14900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"374","2023-04-01","Deer Creek Reservoir",NA,"U",149700,127014,102072,128400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"375","2023-04-01","East Canyon Reservoir",NA,"U",49500,31148,28572,37300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"376","2023-04-01","Echo Reservoir",NA,"U",73900,31441,46432,48700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"377","2023-04-01","Flaming Gorge Reservoir",NA,"U",3749000,2932211,2465158,3162000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"378","2023-04-01","Grantsville Reservoir",NA,"",3300,2035,1694,2300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"379","2023-04-01","Gunlock",NA,"",10400,4500,9125,7500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"380","2023-04-01","Gunnison Reservoir",NA,"",20300,650,1360,11000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"381","2023-04-01","Huntington North Reservoir",NA,"U",4200,3548,4028,4100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"382","2023-04-01","Hyrum Reservoir",NA,"U",15300,14165,9919,13500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"383","2023-04-01","Joes Valley Reservoir",NA,"U",61600,22905,30353,40400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"384","2023-04-01","Jordanelle Reservoir",NA,"U",314000,153430,185448,224100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"385","2023-04-01","Ken's Lake",NA,"",2300,1050,1792,1380,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"386","2023-04-01","Lake Powell",NA,"U",24322000,5812418,5374969,12880000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"387","2023-04-01","Lost Creek Reservoir",NA,"U",22500,10680,10319,14300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"388","2023-04-01","Lower Enterprise",NA,"",2600,1416,2394,1300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"389","2023-04-01","Miller Flat Reservoir",NA,"",5200,1662,1438,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"390","2023-04-01","Millsite",NA,"",16700,3610,9019,10200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"391","2023-04-01","Minersville Reservoir",NA,"",23300,7818,8676,12300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"392","2023-04-01","Moon Lake Reservoir",NA,"U",35800,27120,28878,23800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"393","2023-04-01","Otter Creek Reservoir",NA,"",52500,26495,26078,39500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"394","2023-04-01","Panguitch Lake",NA,"",22300,10000,10000,11500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"395","2023-04-01","Pineview Reservoir",NA,"U",110100,38839,38290,61900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"396","2023-04-01","Piute Reservoir",NA,"",71800,17484,30938,58600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"397","2023-04-01","Porcupine Reservoir",NA,"",11300,6754,8919,9900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"398","2023-04-01","Quail Creek",NA,"",40000,27806,29537,31500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"399","2023-04-01","Red Fleet Reservoir",NA,"U",25700,11520,10726,19600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"400","2023-04-01","Rockport Reservoir",NA,"U",60900,39784,29058,39400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
