"","Date","Name","QC_Flag","QA_Flag","Reservoir_Capacity_ac_ft","Reservoir_Storage_Volume_Previous_Year_ac_ft","Reservoir_Storage_Volume_ac_ft","Median_Reservoir_Storage_Volume_1981_2010_ac_ft","Source"
"401","2023-04-01","Sand Hollow Reservoir",NA,"",50000,44161,45634,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"402","2023-04-01","Scofield Reservoir",NA,"U",65800,21021,18296,27800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"403","2023-04-01","Settlement Canyon Reservoir",NA,"",1000,362,322,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"404","2023-04-01","Yuba Reservoir",NA,"",236000,82547,58027,139600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"405","2023-04-01","Smith And Morehouse Reservoir",NA,"U",8100,4935,4133,4600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"406","2023-04-01","Starvation Reservoir",NA,"U",164118,149223,141732,152700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"407","2023-04-01","Stateline Reservoir",NA,"U",12000,5966,6729,5700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"408","2023-04-01","Steinaker Reservoir",NA,"U",33400,11871,18194,23300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"409","2023-04-01","Strawberry Reservoir",NA,"U",1105900,841536,825967,857300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"410","2023-04-01","Upper Enterprise Reservoir",NA,"",10000,1687,8890,5200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"411","2023-04-01","Utah Lake",NA,"U",870900,534367,530094,768500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"412","2023-04-01","Willard Bay",NA,"U",215000,100579,139085,158500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"413","2023-04-01","Woodruff Creek",NA,"",4000,2900,2800,3800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"414","2023-04-01","Woodruff Narrows Reservoir",NA,"",57300,20303,16319,49800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"415","2023-05-01","Bear Lake",NA,"",1302000,608258,492302,572800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"416","2023-05-01","Big Sand Wash Reservoir",NA,"",25700,26656,25789,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"417","2023-05-01","Causey Reservoir",NA,"U",7100,6937,3644,5900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"418","2023-05-01","Cleveland Lake",NA,"",5400,129,3425,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"419","2023-05-01","Currant Creek Reservoir",NA,"U",15500,14800,14872,14900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"420","2023-05-01","Deer Creek Reservoir",NA,"U",149700,130503,120468,131300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"421","2023-05-01","East Canyon Reservoir",NA,"U",49500,35199,28538,41100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"422","2023-05-01","Echo Reservoir",NA,"U",73900,39098,20565,53300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"423","2023-05-01","Flaming Gorge Reservoir",NA,"U",3749000,2937800,2589437,3114000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"424","2023-05-01","Grantsville Reservoir",NA,"",3300,2279,2509,2800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"425","2023-05-01","Gunlock",NA,"",10400,4682,9169,8200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"426","2023-05-01","Gunnison Reservoir",NA,"",20300,690,5700,11200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"427","2023-05-01","Huntington North Reservoir",NA,"U",4200,4061,3888,4100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"428","2023-05-01","Hyrum Reservoir",NA,"U",15300,14616,10916,14700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"429","2023-05-01","Joes Valley Reservoir",NA,"U",61600,23221,23622,38500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"430","2023-05-01","Jordanelle Reservoir",NA,"U",314000,161365,186966,236700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"431","2023-05-01","Ken's Lake",NA,"",2300,1510,2255,1340,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"432","2023-05-01","Lake Powell",NA,"U",24322000,5790596,5544347,12892000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"433","2023-05-01","Lost Creek Reservoir",NA,"U",22500,12624,9103,16300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"434","2023-05-01","Lower Enterprise",NA,"",2600,1443,2800,1350,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"435","2023-05-01","Miller Flat Reservoir",NA,"",5200,1781,1535,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"436","2023-05-01","Millsite",NA,"",16700,4809,4983,10900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"437","2023-05-01","Minersville Reservoir",NA,"",23300,7205,10630,12200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"438","2023-05-01","Moon Lake Reservoir",NA,"U",35800,26840,31936,24100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"439","2023-05-01","Otter Creek Reservoir",NA,"",52500,28052,34123,43300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"440","2023-05-01","Panguitch Lake",NA,"",22300,12500,15000,13000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"441","2023-05-01","Pineview Reservoir",NA,"U",110100,56653,25999,83600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"442","2023-05-01","Piute Reservoir",NA,"",71800,16978,46845,54200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"443","2023-05-01","Porcupine Reservoir",NA,"",11300,10131,9392,11300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"444","2023-05-01","Quail Creek",NA,"",40000,27585,30808,31600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"445","2023-05-01","Red Fleet Reservoir",NA,"U",25700,12875,11713,20000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"446","2023-05-01","Rockport Reservoir",NA,"U",60900,49191,14971,41600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"447","2023-05-01","Sand Hollow Reservoir",NA,"",50000,45334,47192,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"448","2023-05-01","Scofield Reservoir",NA,"U",65800,25393,10381,26800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"449","2023-05-01","Settlement Canyon Reservoir",NA,"",1000,385,380,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"450","2023-05-01","Yuba Reservoir",NA,"",236000,70813,38938,133200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"451","2023-05-01","Smith And Morehouse Reservoir",NA,"U",8100,5223,3622,5400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"452","2023-05-01","Starvation Reservoir",NA,"U",164118,154303,131927,155300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"453","2023-05-01","Stateline Reservoir",NA,"U",12000,7198,7488,6500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"454","2023-05-01","Steinaker Reservoir",NA,"U",33400,14097,20751,24400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"455","2023-05-01","Strawberry Reservoir",NA,"U",1105900,855550,833811,881100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"456","2023-05-01","Upper Enterprise Reservoir",NA,"",10000,1730,8983,5500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"457","2023-05-01","Utah Lake",NA,"U",870900,496198,588158,756700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"458","2023-05-01","Vernon Creek Reservoir",NA,"",600,NA,635,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"459","2023-05-01","Willard Bay",NA,"U",215000,108745,184395,174000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"460","2023-05-01","Woodruff Creek",NA,"",4000,3980,3155,4000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"461","2023-05-01","Woodruff Narrows Reservoir",NA,"",57300,26072,44630,55500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"462","2023-06-01","Bear Lake",NA,"",1302000,606928,703314,635600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"463","2023-06-01","Big Sand Wash Reservoir",NA,"",25700,20142,25916,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"464","2023-06-01","Causey Reservoir",NA,"U",7100,7077,7176,7100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"465","2023-06-01","Cleveland Lake",NA,"",5400,2140,4112,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"466","2023-06-01","Currant Creek Reservoir",NA,"U",15500,14405,14998,15000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"467","2023-06-01","Deer Creek Reservoir",NA,"U",149700,124463,142168,136900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"468","2023-06-01","East Canyon Reservoir",NA,"U",49500,38502,45669,48700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"469","2023-06-01","Echo Reservoir",NA,"U",73900,60353,54626,65900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"470","2023-06-01","Flaming Gorge Reservoir",NA,"U",3749000,2769212,2917393,3144000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"471","2023-06-01","Grantsville Reservoir",NA,"",3300,2362,3304,3000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"472","2023-06-01","Gunlock",NA,"",10400,4682,9140,8000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"473","2023-06-01","Gunnison Reservoir",NA,"",20300,4216,17820,12200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"474","2023-06-01","Huntington North Reservoir",NA,"U",4200,3395,2380,3700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"475","2023-06-01","Hyrum Reservoir",NA,"U",15300,14547,10644,14700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"476","2023-06-01","Joes Valley Reservoir",NA,"U",61600,37742,46408,51200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"477","2023-06-01","Jordanelle Reservoir",NA,"U",314000,217931,292695,278800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"478","2023-06-01","Ken's Lake",NA,"",2300,2255,2610,1890,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"479","2023-06-01","Lake Powell",NA,"U",24322000,6346048,7887843,14252000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"480","2023-06-01","Lost Creek Reservoir",NA,"U",22500,15137,22670,20100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"481","2023-06-01","Lower Enterprise",NA,"",2600,958,2188,1300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"482","2023-06-01","Miller Flat Reservoir",NA,"",5200,2654,5435,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"483","2023-06-01","Millsite",NA,"",16700,13659,17206,16400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"484","2023-06-01","Minersville Reservoir",NA,"",23300,5437,23833,10900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"485","2023-06-01","Moon Lake Reservoir",NA,"U",35800,30530,35698,27900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"486","2023-06-01","Otter Creek Reservoir",NA,"",52500,23781,52331,46000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"487","2023-06-01","Panguitch Lake",NA,"",22300,14000,24000,19000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"488","2023-06-01","Pineview Reservoir",NA,"U",110100,72171,94900,105300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"489","2023-06-01","Piute Reservoir",NA,"",71800,5056,66366,49800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"490","2023-06-01","Porcupine Reservoir",NA,"",11300,13200,13200,11300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"491","2023-06-01","Quail Creek",NA,"",40000,27989,30792,32400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"492","2023-06-01","Red Fleet Reservoir",NA,"U",25700,15817,21264,23600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"493","2023-06-01","Rockport Reservoir",NA,"U",60900,58662,41865,50000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"494","2023-06-01","Sand Hollow Reservoir",NA,"",50000,41805,49505,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"495","2023-06-01","Scofield Reservoir",NA,"U",65800,31688,57093,45500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"496","2023-06-01","Settlement Canyon Reservoir",NA,"",1000,400,973,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"497","2023-06-01","Yuba Reservoir",NA,"",236000,40536,41662,105800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"498","2023-06-01","Smith And Morehouse Reservoir",NA,"U",8100,8356,8387,7700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"499","2023-06-01","Starvation Reservoir",NA,"U",164118,150118,152076,152800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"500","2023-06-01","Stateline Reservoir",NA,"U",12000,12819,14203,11100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"501","2023-06-01","Steinaker Reservoir",NA,"U",33400,20886,36123,28200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"502","2023-06-01","Strawberry Reservoir",NA,"U",1105900,875988,943262,925000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"503","2023-06-01","Upper Enterprise Reservoir",NA,"",10000,1673,8705,3500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"504","2023-06-01","Utah Lake",NA,"U",870900,500474,747017,764800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"505","2023-06-01","Willard Bay",NA,"U",215000,107957,195610,183000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"506","2023-06-01","Woodruff Creek",NA,"",4000,3000,4040,4000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"507","2023-06-01","Woodruff Narrows Reservoir",NA,"",57300,38846,63429,49800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"508","2023-07-01","Bear Lake",NA,"",1302000,584358,846121,640600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"509","2023-07-01","Big Sand Wash Reservoir",NA,"",25700,15918,25911,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"510","2023-07-01","Causey Reservoir",NA,"U",7100,7064,7052,7000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"511","2023-07-01","Cleveland Lake",NA,"",5400,3833,5372,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"512","2023-07-01","Currant Creek Reservoir",NA,"U",15500,14639,15071,15000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"513","2023-07-01","Deer Creek Reservoir",NA,"U",149700,118073,149327,141500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"514","2023-07-01","East Canyon Reservoir",NA,"U",49500,37261,49899,47100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"515","2023-07-01","Echo Reservoir",NA,"U",73900,64054,73347,64100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"516","2023-07-01","Flaming Gorge Reservoir",NA,"U",3749000,2752191,3249266,3253000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"517","2023-07-01","Grantsville Reservoir",NA,"",3300,2226,3183,2700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"518","2023-07-01","Gunlock",NA,"",10400,4682,9026,7300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"519","2023-07-01","Gunnison Reservoir",NA,"",20300,300,20300,11100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"520","2023-07-01","Huntington North Reservoir",NA,"U",4200,2242,2617,3400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"521","2023-07-01","Hyrum Reservoir",NA,"U",15300,12902,14621,13400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"522","2023-07-01","Joes Valley Reservoir",NA,"U",61600,41729,62775,58300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"523","2023-07-01","Jordanelle Reservoir",NA,"U",314000,239473,309589,291000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"524","2023-07-01","Ken's Lake",NA,"",2300,2087,2588,2100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"525","2023-07-01","Lake Powell",NA,"U",24322000,6878423,9574258,15351000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"526","2023-07-01","Lost Creek Reservoir",NA,"U",22500,14279,22058,19800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"527","2023-07-01","Lower Enterprise",NA,"",2600,356,1610,1000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"528","2023-07-01","Miller Flat Reservoir",NA,"",5200,4093,5326,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"529","2023-07-01","Millsite",NA,"",16700,16819,18068,15800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"530","2023-07-01","Minersville Reservoir",NA,"",23300,3584,23379,9300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"531","2023-07-01","Moon Lake Reservoir",NA,"U",35800,26570,38130,34300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"532","2023-07-01","Otter Creek Reservoir",NA,"",52500,14803,50500,36800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"533","2023-07-01","Panguitch Lake",NA,"",22300,13000,24000,15900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"534","2023-07-01","Pineview Reservoir",NA,"U",110100,70057,109738,98700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"535","2023-07-01","Piute Reservoir",NA,"",71800,1083,62535,36800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"536","2023-07-01","Porcupine Reservoir",NA,"",11300,11988,13200,10800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"537","2023-07-01","Quail Creek",NA,"",40000,25937,31735,31200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"538","2023-07-01","Red Fleet Reservoir",NA,"U",25700,15255,25698,24200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"539","2023-07-01","Rockport Reservoir",NA,"U",60900,58472,61904,59100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"540","2023-07-01","Sand Hollow Reservoir",NA,"",50000,39514,48776,NA,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"541","2023-07-01","Scofield Reservoir",NA,"U",65800,28787,68842,43300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"542","2023-07-01","Settlement Canyon Reservoir",NA,"",1000,385,944,750,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"543","2023-07-01","Yuba Reservoir",NA,"",236000,28780,84638,105600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"544","2023-07-01","Smith And Morehouse Reservoir",NA,"U",8100,8273,8350,7800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"545","2023-07-01","Starvation Reservoir",NA,"U",164118,135943,164036,155100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"546","2023-07-01","Stateline Reservoir",NA,"U",12000,13491,14096,13200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"547","2023-07-01","Steinaker Reservoir",NA,"U",33400,20984,36073,26600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"548","2023-07-01","Strawberry Reservoir",NA,"U",1105900,862134,994199,928100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"549","2023-07-01","Upper Enterprise Reservoir",NA,"",10000,1518,8519,2500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"550","2023-07-01","Utah Lake",NA,"U",870900,458831,839398,756500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"551","2023-07-01","Willard Bay",NA,"U",215000,98810,220832,172000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"552","2023-07-01","Woodruff Creek",NA,"",4000,700,2410,3000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"553","2023-07-01","Woodruff Narrows Reservoir",NA,"",57300,16297,57842,34700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"554","2023-08-08","Bear Lake",NA,"",1422000,487737,943240,567800,"http://www.bearriverbasin.org/reservoirs"
"555","2023-08-09","Big Sand Wash Reservoir",NA,"",25858,10600,20372,NA,"http://www.duchesneriver.org/reservoirs"
"556","2023-08-09","Causey Reservoir",NA,"U",7100,5694,6527,5500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"557","2023-08-09","Cleveland Lake",NA,"",5350,3682,5121,NA,"http://www.ewcd.org/reservoirs"
"558","2023-08-08","Currant Creek Reservoir",NA,"U",15500,14800,15153,15000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"559","2023-08-04","Deer Creek Reservoir",NA,"U",149700,100084,145812,119200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"560","2023-08-09","East Canyon Reservoir",NA,"U",49500,32635,45402,39900,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"561","2023-08-09","Echo Reservoir",NA,"U",73900,50718,60381,44000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"562","2023-08-09","Flaming Gorge Reservoir",NA,"U",3749000,2779721,3318988,3293000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"563","2023-08-01","Grantsville Reservoir",NA,"",3300,1459,2689,1800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"564","2023-08-09","Gunlock",NA,"",10900,4682,10137,7100,"Gage Down wcwcd verbal"
"565","2023-08-01","Gunnison Reservoir",NA,"",20300,0,15120,6600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"566","2023-08-09","Huntington North Reservoir",NA,"U",4200,2092,3100,2800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"567","2023-08-04","Hyrum Reservoir",NA,"U",15300,8580,12164,8700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"568","2023-08-09","Joes Valley Reservoir",NA,"U",61600,37382,57335,51100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"569","2023-08-08","Jordanelle Reservoir",NA,"U",314000,224544,283925,271400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"570","2023-08-01","Ken's Lake",NA,"",2300,1808,2522,1410,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"571","2023-08-09","Lake Powell",NA,"U",24322000,6212161,9189968,15262000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"572","2023-08-09","Lost Creek Reservoir",NA,"U",22500,12104,19535,17300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"573","2023-08-01","Lower Enterprise",NA,"",2600,840,802,600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"574","2023-08-09","Miller Flat Reservoir",NA,"",5443,3346,4772,NA,"http://www.ewcd.org/reservoirs"
"575","2023-08-09","Millsite",NA,"",18061,14384,16807,14200,"http://www.ewcd.org/reservoirs"
"576","2023-08-09","Minersville Reservoir",NA,"",24700,2336,17417,5500,"https://waterrights.utah.gov"
"577","2023-08-09","Moon Lake Reservoir",NA,"U",35800,18040,28474,22800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"578","2023-08-08","Newton Reservoir",NA,NA,5374,NA,3652,NA,"https://www.usbr.gov"
"579","2023-08-08","Otter Creek Reservoir",NA,"",52700,8671,46530,28300,"http://www.sevierriver.org/reservoirs"
"580","2023-08-01","Panguitch Lake",NA,"",22300,8196,21000,13200,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"581","2023-08-09","Pineview Reservoir",NA,"U",110100,56308,101313,80400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"582","2023-08-08","Piute Reservoir",NA,"",66785,175,42500,24300,"http://www.sevierriver.org/reservoirs"
"583","2023-08-09","Porcupine Reservoir",NA,"",13000,8685,10456,9000,"https://waterrights.utah.gov"
"584","2023-08-09","Quail Creek",NA,"",40000,24333,29600,29800,"https://www.wcwcd.org/water-section"
"585","2023-08-05","Red Fleet Reservoir",NA,"U",25700,13239,23838,22100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"586","2023-08-04","Rockport Reservoir",NA,"U",60900,49957,56580,52700,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"587","2023-08-09","Sand Hollow Reservoir",NA,"",51000,36403,47940,NA,"https://www.wcwcd.org/water-section"
"588","2023-08-09","Scofield Reservoir",NA,"U",65800,22612,62260,36100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"589","2023-08-01","Settlement Canyon Reservoir",NA,"",1000,236,743,500,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"590","2023-08-08","Yuba Reservoir",NA,"",225898,15265,52076,81300,"http://www.sevierriver.org/reservoirs"
"591","2023-08-09","Smith And Morehouse Reservoir",NA,"U",8100,7742,8075,7100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"592","2023-08-08","Starvation Reservoir",NA,"U",164118,121301,154208,141400,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"593","2023-08-09","Stateline Reservoir",NA,"U",12000,10428,11958,9300,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"594","2023-08-05","Steinaker Reservoir",NA,"U",33400,17858,31717,21600,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"595","2023-08-08","Strawberry Reservoir",NA,"U",1105900,836080,999788,902100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"596","2023-08-01","Upper Enterprise Reservoir",NA,"",10000,580,8250,2000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"597","2023-08-08","Utah Lake",NA,"U",870900,387046,796736,700100,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"598","2023-08-01","Willard Bay",NA,"U",215000,83920,209462,156000,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"599","2023-08-01","Woodruff Creek",NA,"",4000,1125,2250,800,"https://wcc.sc.egov.usda.gov/reportGenerator/"
"600","2023-08-09","Woodruff Narrows Reservoir",NA,"",57300,14612,56735,27900,"http://www.bearriverbasin.org/reservoirs"
